"nct_id","phase_token","status_token","failure_token","failure_confidence","intervention_type","endpoint_category","endpoint_miss","sponsor_type","enrollment_ratio","duration_months","condition_token","why_stopped_raw","primary_endpoint_raw"
"NCT00171860","PHASE2","TERMINATED","UNKNOWN","0","DRUG","RESPONSE_RATE","False","INDUSTRY",,,"hypereosinophilic syndrome",,"Rate of complete and partial response and relapse"
"NCT03128060","NA","TERMINATED","ENROLLMENT","0.8","OTHER","OTHER","False","OTHER",,"18.4","cancer","Study enrollment was terminated due to inability to recruit participants","Edmonton Symptom Assessment Survey for Patients"
"NCT01108497","NA","TERMINATED","UNKNOWN","0","PROCEDURE","BIOMARKER","False","OTHER",,"170","leukemia",,"Gene Expression"
"NCT02815397","PHASE2","TERMINATED","ENROLLMENT","0.6","DRUG","SURVIVAL","False","OTHER",,"5","diffuse large b-cell lymphoma","Poor accrual","Evaluation of Impact of Metformin on 18 Month Progression-free Survival"
"NCT00743197","NA","TERMINATED","EXTERNAL","0.6","DRUG","OTHER","False","OTHER",,"24","chest pain","Terminated due to departure of PI from institution.","Effectiveness of Therapy Compared to Usual Care, in Those Women With Chest Pain (CP), Reversible Ischemia by Stress Testing and Nonobstructive Coronary Artery Disease (CAD) by Angiography Who Are Found to Have Coronary Endothelial Dysfunction (CED)."
"NCT03823924","NA","TERMINATED","UNKNOWN","0","PROCEDURE","OTHER","False","OTHER",,"28","psoriatic arthritis","logistic problems","Visceral adiposity (VAT)"
"NCT00973024","PHASE2","TERMINATED","EFFICACY","0.8","DRUG","OTHER","False","INDUSTRY",,"19.9","low back pain","Based on lack of efficacy in PAI2003, sponsor made the decision to discontinue the trial.","Change from baseline in the average low back pain-related pain intensity score"
"NCT01027923","PHASE1","TERMINATED","BUSINESS","0.6","DRUG","OTHER","False","OTHER",,"16","leukemia, myeloid, acute","Withdrawal of support from sponsor","To determine the maximum tolerated dose and dose limiting toxicities of intravenous plerixafor when combined with MEC in patients with relapsed or refractory AML."
"NCT00004159","PHASE1","TERMINATED","UNKNOWN","0","DRUG","OTHER","True","OTHER",,"0","lung cancer",,
"NCT02343159","PHASE4","TERMINATED","BUSINESS","0.6","DRUG","OTHER","False","INDUSTRY",,"13.5","multiple sclerosis","Sponsor Decision","Overall Adherence Rates at Month 12: Arm 3 vs. Arm 1"
"NCT03743480","NA","TERMINATED","ENROLLMENT","0.8","OTHER","OTHER","False","OTHER_GOV",,"35.2","hematologic neoplasms","Slow accrual","Adherence to the palliative care program assessed by percentage of patients attending palliative care visits after 3 months from the enrolment"
"NCT03335280","NA","TERMINATED","ENROLLMENT","0.8","DRUG","OTHER","False","OTHER",,"13.9","glioma","Low Accrual","Maximum standardized uptake value (SUVmax)"
"NCT00099879","PHASE2","TERMINATED","UNKNOWN","0","DRUG","OTHER","True","INDUSTRY",,,"non-small cell lung cancer",,
"NCT02376946","NA","TERMINATED","BUSINESS","0.6","DEVICE","OTHER","False","OTHER",,"19","postoperative edema and pain","Sponsor decision","Change in Postoperative Facial Swelling"
"NCT03637803","PHASE1","TERMINATED","BUSINESS","0.6","DRUG","SAFETY","False","INDUSTRY",,"51.9","oncology","Sponsor insolvency","Part A: To assess the safety and tolerability of MRx0518 in combination with pembrolizumab through the collection of adverse events"
"NCT02899403","NA","TERMINATED","EXTERNAL","0.6","OTHER","OTHER","False","OTHER",,"43.4","alzheimer disease","sponsor decision COVID","EEG spectral power during RVIP task as compared to resting state"
"NCT00746603","NA","TERMINATED","ENROLLMENT","0.8","DRUG","SAFETY","False","OTHER",,"18","carotid artery disease","Poor enrollment","Number of Participants Experiencing Grade 3 or Greater Muscle Toxicity"
"NCT02504203","PHASE4","TERMINATED","UNKNOWN","0","BIOLOGICAL","OTHER","False","OTHER",,"67","infant mortality","Due to fewer than expected children enrolled and lower than expected overall mortality rate.","Non-accidental Mortality"
"NCT03502161","NA","TERMINATED","BUSINESS","0.6","DEVICE","OTHER","False","INDUSTRY",,"19.5","cmv","Business decision.","Change in time to CMV Infection between sub-groups of QF-CMV assay classifications."
"NCT01633242","NA","TERMINATED","UNKNOWN","0","OTHER","OTHER","False","NIH",,"55.6","muscular dystrophy",,"Evaluate CMR measures in muscular dystrophy patients"
"NCT02855086","PHASE1","TERMINATED","EXTERNAL","0.6","BIOLOGICAL","OTHER","False","OTHER",,"1.7","brain neoplasm","logistics","Tumor to Background Ratio (TBR)"
"NCT02335216","NA","TERMINATED","UNKNOWN","0","DEVICE","OTHER","False","INDUSTRY",,"36","failed back surgery syndrome",,"Change in Pain Intensity for Overall Pain From Pre-treatment Baseline"
"NCT01067833","PHASE2","TERMINATED","UNKNOWN","0","DRUG","OTHER","False","INDUSTRY",,"20","atrial fibrillation",,"time to first documented recurrence of symptomatic AF"
